current_phR,current_phY,current_phB,Fault
-1.416296228,3.170727876,-1.754431648,0
-2.917445869,5.424011065,-2.506565196,0
-4.68409912,7.384765721,-2.700666601,0
-6.771722617,9.668230907,-2.89650829,0
-9.244456292,13.09909984,-3.854643544,0
-11.54033637,16.28974556,-4.74940919,0
-13.58968188,18.69535971,-5.105677829,0
-16.10528184,20.6400471,-4.534765257,0
-19.38203117,22.98551357,-3.603482403,0
-22.97772414,25.71490809,-2.737183949,0
-25.11363181,26.87476013,-1.761128321,0
-26.30139809,26.87410987,-0.572711779,0
-27.82607511,26.78267721,1.043397902,0
-30.54838998,27.56926822,2.979121767,0
-33.52759647,28.77999449,4.747601975,0
-35.0545406,28.79620666,6.25833394,0
-35.77044155,27.82281353,7.947628022,0
-36.51082523,26.41050824,10.10031698,0
-38.46941712,25.84211786,12.62729927,0
-40.36444457,25.54594191,14.81850265,0
-41.15461271,24.66229402,16.4923187,0
-41.65410205,22.85527985,18.7988222,0
-42.04220328,20.26233164,21.77987164,0
-43.28607316,18.27455793,25.01151523,0
-42.90521506,16.43982191,26.46539315,0
-41.80236287,14.80013567,27.0022272,0
-40.83092248,12.84603284,27.98488964,0
-40.76205431,10.63533012,30.12672419,0
-41.13124976,8.694277667,32.43697209,0
-40.38721143,6.912534486,33.47467695,0
-38.9650045,5.048036278,33.91696822,0
-37.17478837,2.961189174,34.2135992,0
-36.34649975,0.725542155,35.6209576,0
-35.42120625,-1.012258272,36.43346453,0
-34.05623186,-2.444858253,36.50109011,0
-31.96705516,-4.308905235,36.2759604,0
-29.57701992,-7.056821621,36.63384154,0
-27.70643611,-9.685746429,37.39218254,0
-26.01818156,-10.65752226,36.67570383,0
-24.77888687,-10.72821187,35.50709875,0
-23.31201932,-11.13486532,34.44688464,0
-21.61376869,-12.96566874,34.57943743,0
-20.06099456,-15.01467477,35.07566933,0
-18.41380716,-16.233597,34.64740416,0
-16.73875449,-16.56834432,33.3070988,0
-15.13296018,-16.8274975,31.96045768,0
-13.64702845,-18.1397649,31.78679334,0
-12.2157558,-19.28363522,31.49939102,0
-10.56974122,-20.2573391,30.82708033,0
-8.635379527,-20.74652023,29.38189976,0
-6.20871726,-21.5044231,27.71314036,0
-4.264070386,-22.18725085,26.45132123,0
-3.50729532,-21.9542483,25.46154362,0
-3.141225745,-21.56629875,24.7075245,0
-2.426090758,-21.31081334,23.7369041,0
-0.785395634,-21.89761843,22.68301406,0
0.661851724,-22.35133559,21.68948387,0
1.619067984,-22.02850047,20.40943249,0
2.132144561,-21.35635611,19.22421155,0
2.961027263,-21.10643056,18.1454033,0
4.578643063,-21.69207729,17.11343423,0
6.070646565,-21.91249021,15.84184365,0
7.582860001,-21.6578552,14.0749952,0
8.612941652,-20.71031343,12.09737178,0
9.936936917,-19.69752537,9.760588455,0
10.83196682,-18.97108988,8.139123067,0
11.11051635,-18.36527277,7.254756418,0
11.23018753,-17.70685812,6.476670591,0
11.5815327,-16.8192367,5.237703995,0
12.5879163,-15.98599936,3.398083066,0
13.01848772,-15.13165577,2.113168051,0
12.85387802,-14.05993932,1.206061298,0
12.55110936,-13.01643395,0.465324588,0
12.90246552,-11.96223464,-0.940230875,0
13.76836991,-10.84469451,-2.9236754,0
14.11209211,-9.568834093,-4.543258013,0
13.92351393,-7.827957472,-6.095556458,0
13.1834869,-5.791112333,-7.392374564,0
12.49290035,-3.386347673,-9.106552681,0
11.95661005,-1.703840748,-10.2527693,0
11.40575426,-0.857709604,-10.54804466,0
10.60014141,-0.075544735,-10.52459667,0
9.539150877,1.4149573,-10.95410818,0
8.563322341,3.487573756,-12.0508961,0
7.584175032,4.969367959,-12.55354299,0
6.504696992,5.886901622,-12.39159861,0
5.370608519,6.629191136,-11.99979966,0
4.057162615,8.217684394,-12.27484701,0
2.701625931,10.33446319,-13.03608912,0
1.432552725,11.850023,-13.28257572,0
-0.135750626,13.05532779,-12.91957716,0
-2.175689231,14.13900147,-11.96331224,0
-4.642247001,15.80710263,-11.16485563,0
-6.329868131,16.86888579,-10.53901765,0
-6.986671978,16.81020887,-9.823536897,0
-7.561988317,16.43665242,-8.874664101,0
-8.974782874,16.58061617,-7.605833293,0
-11.16721913,17.62112282,-6.453903692,0
-12.60790981,17.99325325,-5.385343437,0
-13.31002856,17.60314228,-4.293113715,0
-13.79654898,16.86997065,-3.073421663,0
-15.28793695,16.83823327,-1.550296323,0
-17.23772208,17.34782748,-0.110105402,0
-18.53947303,17.39472477,1.144748253,0
-19.27417868,16.68265133,2.591527343,0
-19.9261891,15.30115905,4.625030051,0
-21.395804,14.26247991,7.133324084,0
-22.08082644,13.3745831,8.706243342,0
-21.65437248,12.52592903,9.128443455,0
-20.97216254,11.46040751,9.511755031,0
-21.00624014,10.14099146,10.86524868,0
-21.90848449,8.899753652,13.00873083,0
-22.02410871,7.658773426,14.36533529,0
-21.42797489,6.442494805,14.98548008,0
-20.46639082,5.187248712,15.2791421,0
-20.25400375,3.643951285,16.61005246,0
-20.60880926,2.23567303,18.37313623,0
-20.52117968,0.937550392,19.58362929,0
-19.58599517,-0.601619255,20.18761442,0
-18.08421178,-2.759318415,20.84353019,0
-16.94481948,-5.214300159,22.15911964,0
-15.96088314,-6.54738284,22.50826598,0
-15.07243913,-6.87922228,21.95166141,0
-14.03003292,-7.257486356,21.28751928,0
-12.78445729,-8.748464765,21.53292206,0
-11.49498829,-10.80983123,22.30481952,0
-10.19433978,-12.07872084,22.27306062,0
-8.908757802,-12.61237833,21.52113613,0
-7.599405677,-12.93492994,20.53433561,0
-6.14999856,-14.36256565,20.51256421,0
-4.850862128,-16.03874032,20.88960245,0
-3.487535871,-17.25717674,20.74471261,0
-1.818199806,-17.99297932,19.81117913,0
0.425851471,-18.78123868,18.35538721,0
2.747668976,-20.04095621,17.29328723,0
3.880805655,-20.23240662,16.35160097,0
4.228472675,-19.69588198,15.4674093,0
4.781025956,-19.23702541,14.45599946,0
6.420411305,-19.64775827,13.22734697,0
8.35363064,-20.44189793,12.08826729,0
9.511140581,-20.37509112,10.86395054,0
10.01545783,-19.63082199,9.615364168,0
10.52616727,-18.90148886,8.37532159,0
12.13299934,-19.08979894,6.956799605,0
13.74846219,-19.46780115,5.719338967,0
14.9418194,-19.30349842,4.361679019,0
15.72270765,-18.35885528,2.636147627,0
16.71960728,-17.05234294,0.332735651,0
17.98701705,-16.10704978,-1.879967271,0
18.07685516,-15.17404334,-2.902811822,0
17.64365156,-14.36090479,-3.282746767,0
17.27764685,-13.35006862,-3.927578222,0
17.83231594,-12.15301772,-5.679298227,0
18.65772878,-11.09735357,-7.560375214,0
18.61950821,-9.953129121,-8.666379086,0
17.92376462,-8.739902235,-9.183862388,0
17.27994205,-7.446065423,-9.833876626,0
17.64649951,-6.040600355,-11.60589915,0
17.94974018,-4.797576087,-13.1521641,0
